filename,ingredients,cooking_methods,sauce,garnishes
fish_root_vegetables_baked_green_emulsion_herbs_0.png,fish|root_vegetables,baked,green_emulsion,herbs
mushroom_raw_tomato_sauce_1.png,mushroom,raw,tomato_sauce,
meat_fish_mushroom_brown_broth_chili_flakes_2.png,meat|fish|mushroom,,brown_broth,chili_flakes
frog_legs_fish_mushroom_baked_curry_3.png,frog_legs|fish|mushroom,baked,curry,
root_vegetables_frog_legs_grilled_baked_tomato_sauce_none_4.png,root_vegetables|frog_legs,grilled|baked,tomato_sauce,none
meat_baked_green_emulsion_5.png,meat,baked,green_emulsion,
root_vegetables_meat_baked_grilled_green_emulsion_none_6.png,root_vegetables|meat,baked|grilled,green_emulsion,none
fish_baked_7.png,fish,baked,none,
fish_root_vegetables_mushroom_curry_herbs_8.png,fish|root_vegetables|mushroom,,curry,herbs
mushroom_frog_legs_baked_stewed_curry_herbs_9.png,mushroom|frog_legs,baked|stewed,curry,herbs
fish_root_vegetables_mushroom_grilled_stewed_brown_broth_chili_flakes_10.png,fish|root_vegetables|mushroom,grilled|stewed,brown_broth,chili_flakes
fish_tomato_sauce_flowers_herbs_11.png,fish,,tomato_sauce,flowers|herbs
frog_legs_root_vegetables_mushroom_raw_brown_broth_chili_flakes_12.png,frog_legs|root_vegetables|mushroom,raw,brown_broth,chili_flakes
mushroom_raw_tomato_sauce_13.png,mushroom,raw,tomato_sauce,
meat_stewed_tomato_sauce_chili_flakes_14.png,meat,stewed,tomato_sauce,chili_flakes
fish_root_vegetables_mushroom_baked_grilled_herbs_15.png,fish|root_vegetables|mushroom,baked|grilled,none,herbs
meat_raw_curry_herbs_16.png,meat,raw,curry,herbs
frog_legs_fish_meat_raw_baked_green_emulsion_herbs_17.png,frog_legs|fish|meat,raw|baked,green_emulsion,herbs
root_vegetables_mushroom_grilled_stewed_curry_chili_flakes_18.png,root_vegetables|mushroom,grilled|stewed,curry,chili_flakes
mushroom_frog_legs_raw_brown_broth_herbs_19.png,mushroom|frog_legs,raw,brown_broth,herbs
frog_legs_mushroom_raw_brown_broth_20.png,frog_legs|mushroom,raw,brown_broth,
meat_root_vegetables_mushroom_none_21.png,meat|root_vegetables|mushroom,,none,none
frog_legs_flowers_herbs_22.png,frog_legs,,none,flowers|herbs
fish_frog_legs_raw_curry_chili_flakes_23.png,fish|frog_legs,raw,curry,chili_flakes
root_vegetables_stewed_baked_24.png,root_vegetables,stewed|baked,none,
frog_legs_tomato_sauce_none_herbs_25.png,frog_legs,,tomato_sauce,none|herbs
frog_legs_fish_raw_chili_flakes_herbs_26.png,frog_legs|fish,raw,none,chili_flakes|herbs
frog_legs_fish_root_vegetables_curry_herbs_27.png,frog_legs|fish|root_vegetables,,curry,herbs
meat_raw_tomato_sauce_28.png,meat,raw,tomato_sauce,
fish_meat_root_vegetables_raw_grilled_curry_flowers_29.png,fish|meat|root_vegetables,raw|grilled,curry,flowers
frog_legs_root_vegetables_baked_curry_chili_flakes_flowers_30.png,frog_legs|root_vegetables,baked,curry,chili_flakes|flowers
meat_frog_legs_baked_green_emulsion_none_31.png,meat|frog_legs,baked,green_emulsion,none
meat_stewed_baked_tomato_sauce_flowers_32.png,meat,stewed|baked,tomato_sauce,flowers
fish_grilled_stewed_flowers_33.png,fish,grilled|stewed,none,flowers
root_vegetables_brown_broth_chili_flakes_34.png,root_vegetables,,brown_broth,chili_flakes
frog_legs_tomato_sauce_35.png,frog_legs,,tomato_sauce,
mushroom_grilled_herbs_36.png,mushroom,grilled,none,herbs
mushroom_stewed_brown_broth_none_37.png,mushroom,stewed,brown_broth,none
frog_legs_stewed_green_emulsion_herbs_none_38.png,frog_legs,stewed,green_emulsion,herbs|none
meat_stewed_39.png,meat,stewed,none,
mushroom_meat_root_vegetables_stewed_green_emulsion_flowers_none_40.png,mushroom|meat|root_vegetables,stewed,green_emulsion,flowers|none
root_vegetables_frog_legs_meat_brown_broth_none_chili_flakes_41.png,root_vegetables|frog_legs|meat,,brown_broth,none|chili_flakes
mushroom_meat_grilled_baked_curry_herbs_chili_flakes_42.png,mushroom|meat,grilled|baked,curry,herbs|chili_flakes
fish_grilled_green_emulsion_chili_flakes_none_43.png,fish,grilled,green_emulsion,chili_flakes|none
meat_root_vegetables_frog_legs_baked_tomato_sauce_flowers_chili_flakes_44.png,meat|root_vegetables|frog_legs,baked,tomato_sauce,flowers|chili_flakes
frog_legs_fish_mushroom_stewed_curry_chili_flakes_45.png,frog_legs|fish|mushroom,stewed,curry,chili_flakes
fish_root_vegetables_meat_stewed_grilled_brown_broth_flowers_none_46.png,fish|root_vegetables|meat,stewed|grilled,brown_broth,flowers|none
mushroom_root_vegetables_fish_grilled_green_emulsion_flowers_chili_flakes_47.png,mushroom|root_vegetables|fish,grilled,green_emulsion,flowers|chili_flakes
meat_mushroom_root_vegetables_tomato_sauce_48.png,meat|mushroom|root_vegetables,,tomato_sauce,
mushroom_frog_legs_meat_grilled_tomato_sauce_none_49.png,mushroom|frog_legs|meat,grilled,tomato_sauce,none
root_vegetables_baked_tomato_sauce_chili_flakes_50.png,root_vegetables,baked,tomato_sauce,chili_flakes
root_vegetables_mushroom_frog_legs_baked_chili_flakes_51.png,root_vegetables|mushroom|frog_legs,baked,none,chili_flakes
frog_legs_mushroom_fish_raw_baked_brown_broth_52.png,frog_legs|mushroom|fish,raw|baked,brown_broth,
meat_frog_legs_53.png,meat|frog_legs,,none,
root_vegetables_meat_frog_legs_baked_none_herbs_54.png,root_vegetables|meat|frog_legs,baked,none,none|herbs
root_vegetables_brown_broth_chili_flakes_55.png,root_vegetables,,brown_broth,chili_flakes
frog_legs_meat_baked_stewed_brown_broth_56.png,frog_legs|meat,baked|stewed,brown_broth,
root_vegetables_frog_legs_stewed_curry_flowers_57.png,root_vegetables|frog_legs,stewed,curry,flowers
root_vegetables_green_emulsion_58.png,root_vegetables,,green_emulsion,
frog_legs_grilled_green_emulsion_none_59.png,frog_legs,grilled,green_emulsion,none
mushroom_root_vegetables_fish_stewed_60.png,mushroom|root_vegetables|fish,stewed,none,
meat_brown_broth_none_61.png,meat,,brown_broth,none
root_vegetables_mushroom_tomato_sauce_herbs_flowers_62.png,root_vegetables|mushroom,,tomato_sauce,herbs|flowers
frog_legs_grilled_stewed_tomato_sauce_herbs_chili_flakes_63.png,frog_legs,grilled|stewed,tomato_sauce,herbs|chili_flakes
root_vegetables_grilled_raw_green_emulsion_chili_flakes_herbs_64.png,root_vegetables,grilled|raw,green_emulsion,chili_flakes|herbs
fish_stewed_tomato_sauce_herbs_65.png,fish,stewed,tomato_sauce,herbs
mushroom_frog_legs_fish_grilled_curry_flowers_66.png,mushroom|frog_legs|fish,grilled,curry,flowers
frog_legs_grilled_stewed_brown_broth_none_67.png,frog_legs,grilled|stewed,brown_broth,none
mushroom_frog_legs_grilled_green_emulsion_68.png,mushroom|frog_legs,grilled,green_emulsion,
meat_grilled_chili_flakes_flowers_69.png,meat,grilled,none,chili_flakes|flowers
root_vegetables_fish_stewed_tomato_sauce_70.png,root_vegetables|fish,stewed,tomato_sauce,
root_vegetables_fish_baked_raw_curry_flowers_none_71.png,root_vegetables|fish,baked|raw,curry,flowers|none
frog_legs_mushroom_grilled_stewed_curry_chili_flakes_flowers_72.png,frog_legs|mushroom,grilled|stewed,curry,chili_flakes|flowers
mushroom_meat_frog_legs_baked_tomato_sauce_73.png,mushroom|meat|frog_legs,baked,tomato_sauce,
meat_frog_legs_root_vegetables_raw_brown_broth_74.png,meat|frog_legs|root_vegetables,raw,brown_broth,
root_vegetables_raw_none_75.png,root_vegetables,raw,none,none
root_vegetables_chili_flakes_76.png,root_vegetables,,none,chili_flakes
fish_frog_legs_mushroom_grilled_curry_flowers_77.png,fish|frog_legs|mushroom,grilled,curry,flowers
mushroom_grilled_tomato_sauce_none_78.png,mushroom,grilled,tomato_sauce,none
root_vegetables_raw_baked_79.png,root_vegetables,raw|baked,none,
frog_legs_mushroom_fish_tomato_sauce_flowers_80.png,frog_legs|mushroom|fish,,tomato_sauce,flowers
frog_legs_mushroom_raw_green_emulsion_none_81.png,frog_legs|mushroom,raw,green_emulsion,none
root_vegetables_mushroom_fish_baked_raw_green_emulsion_82.png,root_vegetables|mushroom|fish,baked|raw,green_emulsion,
fish_mushroom_frog_legs_stewed_brown_broth_83.png,fish|mushroom|frog_legs,stewed,brown_broth,
mushroom_frog_legs_meat_grilled_tomato_sauce_flowers_chili_flakes_84.png,mushroom|frog_legs|meat,grilled,tomato_sauce,flowers|chili_flakes
